"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Jaml",1.08864485880045e-105,0.574248030210909,0.948,0.695,1.87181597022149e-101
"Hmgn3",1.14086980909649e-105,-0.462990490169858,0.042,0.393,1.96161154976051e-101
"Pnpla8",2.56428419790401e-105,-0.428153233557025,0.452,0.786,4.40903024987616e-101
"Ptprc",3.27119348686891e-105,0.423122419598358,0.975,0.85,5.6244900813224e-101
"Rnasel",3.31217345254304e-105,0.308403371087159,0.587,0.128,5.69495103430251e-101
"Dgka",6.16331866751453e-105,-0.387246401612135,0.154,0.544,1.05972101169245e-100
"Ranbp1",7.22199559218657e-105,0.443808539046403,0.931,0.746,1.24174992212056e-100
"Ctsl",1.38636135594125e-104,0.397057598969009,0.841,0.426,2.38370971540539e-100
"Runx1",2.42514048628169e-104,0.436477947171726,0.867,0.525,4.16978655211274e-100
"Csk",3.73382602015315e-104,0.383131426350684,0.893,0.583,6.41994045905132e-100
"H2-Q4",3.96953795139153e-104,-0.294600517505231,0.088,0.472,6.8252235536226e-100
"Gpi1",6.54063538983666e-104,0.376952651606865,0.991,0.916,1.12459684892851e-99
"Sec11c",6.84381201544523e-104,0.41145132235072,0.962,0.817,1.17672503793565e-99
"Sept4",1.03164302942195e-103,-0.671742155936425,0.097,0.468,1.7738070247881e-99
"Manf",1.21588221358475e-103,0.514908202974561,0.942,0.759,2.09058787803762e-99
"Srsf3",1.21641265686229e-103,0.433471837565507,0.973,0.835,2.09149992220902e-99
"Trio",2.16923726135651e-103,0.33429850323862,0.753,0.315,3.72978654717638e-99
"Prr13",2.18517435728515e-103,-0.517726658346286,0.933,0.931,3.75718878991608e-99
"Map3k1",3.83391263967901e-103,-0.516296580124094,0.522,0.807,6.59202939266408e-99
"Dnajb11",4.39577986627017e-103,0.374995014800667,0.833,0.49,7.55810390206494e-99
"Mtdh",6.73414868001699e-103,0.495087372379142,0.963,0.812,1.15786952404212e-98
"Capza2",1.48018858389913e-102,0.378785387544687,0.989,0.929,2.54503625115616e-98
"Stat3",2.00646233811457e-102,-0.511922464884044,0.709,0.882,3.4499113441542e-98
"Hnrnpa3",3.45219865280577e-102,0.474467757746525,0.966,0.839,5.93571036363424e-98
"Capg",3.62859664990088e-102,0.613440027198807,0.971,0.871,6.23900907983957e-98
"Auh",4.25747038011569e-102,-0.460821206564799,0.495,0.777,7.32029457157093e-98
"Adipor2",4.52767908677846e-102,0.401632700604515,0.916,0.655,7.78489142180689e-98
"Dclre1c",5.1762969975429e-102,-0.472324547564152,0.278,0.65,8.90012505757526e-98
"Dennd4a",6.43853072511146e-102,-0.5937399988841,0.637,0.885,1.10704097287567e-97
"Rps6ka1",8.95019315976457e-102,0.329692582216264,0.806,0.411,1.53889621188992e-97
"Iscu",1.07913296423886e-101,-0.533515685173813,0.827,0.895,1.8554612187123e-97
"Cd200",1.47356731549531e-101,-0.314223410993626,0.014,0.326,2.53365164226264e-97
"Uqcc2",6.30429269932981e-101,0.423912528436429,0.893,0.66,1.08396008672277e-96
"Ybx3",7.64806752687645e-101,0.463620830865444,0.892,0.644,1.31500873057114e-96
"Gnai3",1.11378872246503e-100,-0.460864724589462,0.702,0.865,1.91504832940637e-96
"Itpripl1",1.16614571951035e-100,0.25120697208905,0.496,0.071,2.0050709501261e-96
"Akr1b3",2.23548211642266e-100,0.369535444307056,0.819,0.471,3.84368795097712e-96
"Prdx5",2.58166231938006e-100,0.467712887553005,0.984,0.886,4.43891019194207e-96
"Trim7",2.63175625322497e-100,-0.401626893885654,0.337,0.708,4.52504170179501e-96
